;Unnamed: 1_level_0;Menos de 1/4 ;1/4 a menos de 1/2 ;1/2 a menos de 1 ;1 a menos de 2;2 ou mais ;Sem rendimento (2)
               Brasil;0.2942852876286754;0.7958880066473537;0.5768840775205749;0.4044665798351298;0.3701853348065653;0.44480187663002213;1.810173689725136
Situação do domicílio;;;;;;;
Urbana;0.32;1.02;0.67;0.45;0.4;0.46;1.97
Rural;0.69;1.09;0.96;0.88;0.93;1.66;4.89
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;1.78;3.27;2.71;1.87;1.39;1.56;9.03
Rondônia;1.4;5.9;2.59;2.51;1.93;2.92;12.19
Acre;4.87;7.22;5.65;6.93;5.58;4.25;6.15
Amazonas;2.28;5.13;3.92;3.12;2.37;3.05;12.44
Roraima;2.57;9.34;4.68;3.49;4.2;5.8;28.09
Pará;3.83;5.56;5.17;3.85;3.16;3.45;17.28
Amapá;3.71;7.65;6.03;5.52;3.81;6.26;3.3
Tocantins;2.28;3.03;5.63;1.87;3.02;2.95;15.62
Nordeste;0.57;1.02;0.88;0.69;0.77;0.96;3.15
Maranhão;1.86;3.71;4.01;1.97;3.35;4.91;8.42
Piauí;1.79;2.03;3.1;2.45;3.07;4.58;31.51
Ceará;0.91;2.04;1.46;1.34;1.81;2.09;7.84
Rio Grande do Norte;3.95;6.86;4.59;4.62;4.51;4.35;14.42
Paraíba;2.49;4.05;4.41;2.1;2.91;4.33;8.42
Pernambuco;1.16;2.55;1.48;1.44;1.21;2.04;6.94
Alagoas;2.84;3.03;3.08;4.87;3.94;3.3;7.44
Sergipe;2.47;3.27;4.4;2.24;3.14;3.47;26.62
Bahia;1.09;2.12;1.45;1.38;1.3;1.39;5.26
Sudeste;0.45;1.57;0.95;0.69;0.6;0.69;3.05
Minas Gerais;0.95;2.51;1.48;1.34;1.31;1.27;4.5
Espírito Santo;1.74;5.29;3.11;2.33;2.5;2.47;6.24
Rio de Janeiro;1.14;3.35;2.51;1.59;1.33;1.46;6.41
São Paulo;0.58;2.78;1.52;0.99;0.81;0.98;4.91
Sul;0.51;1.91;1.23;0.77;0.65;0.88;3.58
Paraná;0.85;2.89;2.1;1.42;1.35;1.26;6.43
Santa Catarina;1.35;7.42;3.23;1.6;1.18;2.02;7.87
Rio Grande do Sul;0.64;2.53;1.54;0.99;0.84;1.36;3.67
Centro-Oeste;0.81;3.18;1.58;1.14;1.11;1.06;4.16
Mato Grosso do Sul;1.71;7.61;3.59;2.11;2.3;2.53;9.62
Mato Grosso;2.18;7.84;3.59;2.31;2.73;3.51;9.58
Goiás;1.21;3.79;2.15;1.78;1.68;1.84;6.36
Distrito Federal;1.6;8.03;4.36;3.32;2.36;1.35;7.06
