;Unnamed: 1_level_0;Empregados;Trabalhadores domésticos;Conta própria;Empregadores ;Outra
               Brasil;0.0;0.5798280792218778;1.467829973822444;0.9390319664919549;2.096773834057668;2.9085744817280674
Situação do domicílio;;;;;;
Urbana;0.0;0.35;1.43;0.91;2.17;2.65
Rural;0.0;2.57;4.79;2.28;6.96;2.49
Grandes Regiões e Unidades da Federação;;;;;;
Norte;0.0;1.89;4.79;2.42;6.65;6.21
Rondônia;0.0;3.66;9.14;5.43;13.21;12.99
Acre;0.0;4.1;15.38;6.79;20.9;13.17
Amazonas;0.0;2.42;8.43;5.05;15.12;9.24
Roraima;0.0;5.06;22.3;9.36;24.68;21.88
Pará;0.0;4.42;10.58;4.02;11.01;13.03
Amapá;0.0;4.96;12.04;15.85;22.12;14.4
Tocantins;0.0;4.13;8.04;8.55;14.97;13.83
Nordeste;0.0;1.85;3.2;2.01;5.26;4.55
Maranhão;0.0;11.28;13.49;8.35;20.67;17.58
Piauí;0.0;5.42;14.06;3.24;19.56;10.16
Ceará;0.0;4.14;5.61;4.16;12.0;8.79
Rio Grande do Norte;0.0;4.39;12.21;8.13;16.72;15.91
Paraíba;0.0;2.55;8.92;5.6;20.01;10.23
Pernambuco;0.0;3.34;6.3;4.64;12.36;13.52
Alagoas;0.0;4.07;14.18;9.16;20.65;9.0
Sergipe;0.0;2.81;12.03;5.12;16.91;14.28
Bahia;0.0;3.55;6.83;4.09;9.63;9.44
Sudeste;0.0;0.55;2.21;1.4;3.27;5.2
Minas Gerais;0.0;1.12;3.39;2.22;4.9;6.61
Espírito Santo;0.0;4.39;9.49;3.92;14.41;18.41
Rio de Janeiro;0.0;1.1;4.14;2.6;6.13;12.33
São Paulo;0.0;0.72;3.62;2.36;5.4;8.28
Sul;0.0;1.55;3.54;2.07;4.2;7.03
Paraná;0.0;2.09;4.54;3.72;7.69;9.72
Santa Catarina;0.0;3.18;10.68;5.18;8.17;20.56
Rio Grande do Sul;0.0;2.83;5.34;2.61;6.25;9.28
Centro-Oeste;0.0;1.15;3.89;2.48;5.92;8.97
Mato Grosso do Sul;0.0;2.15;7.05;4.18;11.65;16.98
Mato Grosso;0.0;3.22;9.4;7.47;14.27;12.65
Goiás;0.0;1.82;6.23;3.27;9.57;16.24
