;total;menos de 1/4;1/4 a menos de 1/2;1/2 a menos de 1;1 a menos de 2;2 ou mais;sem rendimento (2)
               brasil;0.0;2.36;1.14;0.87;0.9;1.53;4.17
urbana;0.0;2.39;1.35;0.92;0.9;1.55;4.32
rural;0.0;3.38;1.99;1.94;3.01;5.18;11.64
norte;0.0;5.84;2.69;2.64;2.55;4.82;12.38
rondônia;0.0;19.68;7.34;4.2;4.43;9.89;44.33
acre;0.0;11.48;8.15;7.89;6.9;15.35;32.62
amazonas;0.0;15.05;4.13;7.02;6.38;10.28;21.47
roraima;0.0;17.16;10.0;7.95;10.1;15.37;47.23
pará;0.0;7.86;4.9;4.5;4.6;9.84;19.41
amapá;0.0;36.28;7.49;10.0;20.76;18.16;49.52
tocantins;0.0;14.35;9.39;4.58;5.7;13.09;45.02
nordeste;0.0;3.15;1.64;1.86;2.64;4.32;8.19
maranhão;0.0;17.19;6.26;8.91;15.0;20.78;18.49
piauí;0.0;9.21;4.9;5.35;13.12;18.81;25.05
ceará;0.0;6.43;3.28;4.91;3.74;8.82;14.47
rio grande do norte;0.0;7.71;5.5;6.26;7.89;13.33;39.42
paraíba;0.0;6.83;8.72;5.57;8.18;23.21;21.03
pernambuco;0.0;6.2;3.75;4.44;3.88;8.4;12.72
alagoas;0.0;6.13;3.85;7.28;10.25;19.71;13.35
sergipe;0.0;9.35;5.37;6.55;7.53;11.68;29.87
bahia;0.0;4.98;3.32;2.81;4.44;7.32;19.94
sudeste;0.0;4.76;2.29;1.32;1.29;2.23;6.77
minas gerais;0.0;8.1;3.25;2.05;2.27;3.82;13.46
espírito santo;0.0;19.36;6.38;4.6;4.38;8.46;29.11
rio de janeiro;0.0;7.25;4.44;2.56;2.28;3.81;14.2
são paulo;0.0;8.28;4.38;2.2;1.99;3.32;9.77
sul;0.0;7.26;3.99;2.3;1.69;2.92;10.37
paraná;0.0;12.88;5.83;3.57;3.1;5.01;16.11
santa catarina;0.0;23.45;10.23;5.97;3.26;6.66;22.77
rio grande do sul;0.0;8.0;6.24;3.37;2.51;3.74;16.9
centro-oeste;0.0;7.88;3.82;1.94;2.22;3.89;11.09
mato grosso do sul;0.0;13.84;9.31;4.66;5.41;9.98;20.38
mato grosso;0.0;20.35;8.46;3.31;5.72;12.37;23.56
goiás;0.0;9.6;5.16;2.76;2.7;5.95;17.98
distrito federal;0.0;18.36;9.6;7.22;5.83;5.48;19.17
