;unnamed: 1_level_0;menos de 1/4;1/4 a menos de 1/2;1/2 a menos de 1;1 a menos de 2;2 ou mais;sem rendimento (2)
;0.46176474285466873;2.4662857757807046;1.2427399874537786;0.9752874909667051;0.9712426479192704;1.5826278885411291;4.183452320155926
Situação do domicílio;;;;;;;
urbana;0.72;2.5;1.55;1.18;1.13;1.69;4.41
rural;2.89;4.83;3.39;3.29;4.01;5.77;11.89
grandes regiões e unidades da federação;;;;;;;
norte;2.72;6.66;3.83;3.58;3.76;4.9;13.07
rondônia;2.55;20.12;6.99;5.42;4.75;10.67;43.57
acre;4.65;14.3;7.44;9.0;7.01;16.42;33.2
amazonas;3.26;16.72;5.16;6.43;6.95;11.02;21.82
roraima;3.44;16.88;9.84;7.72;11.71;16.87;47.0
pará;6.43;9.41;7.67;7.57;9.19;10.83;21.55
amapá;7.49;41.63;12.3;10.37;16.5;17.2;48.84
tocantins;3.47;14.1;11.35;7.01;6.33;10.99;46.51
nordeste;1.01;3.47;1.87;2.14;2.69;4.26;8.21
maranhão;3.54;18.55;7.85;9.47;13.38;20.01;17.34
piauí;2.77;10.84;6.31;6.24;11.84;17.75;24.57
ceará;1.81;6.97;3.71;5.19;4.05;8.35;14.6
rio grande do norte;6.91;10.69;5.92;9.47;13.55;14.07;43.14
paraíba;4.76;9.7;9.24;6.84;10.53;22.7;22.1
pernambuco;1.89;6.31;4.07;5.0;4.3;8.07;12.99
alagoas;4.93;7.76;6.13;8.87;12.03;19.96;13.07
sergipe;4.88;8.57;7.15;7.77;10.53;14.27;32.25
bahia;1.88;5.68;3.5;3.62;4.65;7.5;19.94
sudeste;0.66;4.81;2.35;1.45;1.45;2.38;6.75
minas gerais;1.35;8.1;3.55;2.47;2.75;3.95;13.53
espírito santo;2.71;19.55;6.98;4.15;5.88;9.37;28.61
rio de janeiro;1.8;7.32;5.02;3.06;3.04;4.06;14.14
são paulo;0.85;8.42;4.31;2.31;2.11;3.58;9.73
sul;0.81;7.23;4.12;2.47;1.78;3.08;10.41
paraná;1.36;13.1;6.14;3.77;3.23;5.24;15.75
santa catarina;1.82;23.08;9.94;6.36;3.77;7.2;22.8
rio grande do sul;1.19;7.77;6.58;3.7;2.5;3.87;17.4
centro-oeste;1.16;8.09;3.97;2.08;2.65;4.07;11.11
mato grosso do sul;2.06;14.48;9.72;5.02;5.48;10.19;20.76
mato grosso;2.68;20.94;8.83;4.16;7.24;11.64;23.1
goiás;1.81;9.87;5.39;2.92;3.54;6.4;18.12
distrito federal;3.14;18.48;9.77;6.96;6.1;7.02;19.61
