;Unnamed: 1_level_0;Agrícola;Indústria;Construção;Comércio e Reparação;Serviços
               Brasil;0.0;2.681639049587371;1.7766918468169652;1.7401339421615998;1.3625681889138554;0.9039781644220627
Situação do domicílio;;;;;;
Urbana;0.0;3.63;1.7;1.7;1.08;0.65
Rural;0.0;1.4;7.01;5.75;5.5;3.3
Grandes Regiões e Unidades da Federação;;;;;;
Norte;0.0;5.85;6.2;4.14;3.45;2.57
Rondônia;0.0;9.35;14.57;8.91;6.45;6.7
Acre;0.0;18.2;15.09;17.16;17.03;6.02
Amazonas;0.0;5.5;6.46;8.04;7.0;2.48
Roraima;0.0;8.41;22.9;17.41;9.22;5.83
Pará;0.0;13.82;11.83;8.53;6.81;6.73
Amapá;0.0;39.69;13.88;13.86;13.55;3.99
Tocantins;0.0;11.52;11.14;9.4;8.28;5.64
Nordeste;0.0;3.7;4.58;3.83;3.68;2.39
Maranhão;0.0;16.47;27.07;14.47;21.02;11.2
Piauí;0.0;9.35;11.81;14.28;10.16;10.31
Ceará;0.0;9.76;7.23;9.33;7.89;5.52
Rio Grande do Norte;0.0;10.88;10.94;12.63;14.8;3.85
Paraíba;0.0;10.53;8.95;10.72;10.69;6.01
Pernambuco;0.0;10.69;13.93;10.25;8.4;4.88
Alagoas;0.0;6.33;22.04;15.7;13.82;6.44
Sergipe;0.0;13.9;17.77;14.98;6.1;7.75
Bahia;0.0;5.85;10.52;6.92;6.13;4.83
Sudeste;0.0;5.81;2.54;2.77;1.91;1.14
Minas Gerais;0.0;6.66;5.32;4.52;4.19;2.39
Espírito Santo;0.0;17.0;13.44;14.21;6.87;6.57
Rio de Janeiro;0.0;20.51;4.29;5.3;3.54;1.52
São Paulo;0.0;12.73;3.34;4.43;2.61;1.63
Sul;0.0;6.84;3.52;3.75;2.98;2.46
Paraná;0.0;9.47;4.98;5.62;4.65;2.87
Santa Catarina;0.0;18.37;5.04;8.54;6.13;6.16
Rio Grande do Sul;0.0;9.94;7.11;5.92;4.92;4.08
Centro-Oeste;0.0;6.49;5.18;4.58;3.18;1.84
Mato Grosso do Sul;0.0;9.88;14.38;6.87;7.99;5.12
Mato Grosso;0.0;9.36;14.33;13.9;8.43;3.72
Goiás;0.0;11.55;5.27;6.74;4.09;3.03
Distrito Federal;0.0;41.31;9.25;9.99;6.1;2.13
