;"Total
(1)";Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo)
;;"Menos
de 1/4 ";"1/4 a menos
de 1/2 ";"1/2 a menos
de 1 ";"1 a menos
de 2";2 ou mais ;"Sem
rendimento
(2)"
               Brasil;0.1;1.92;0.96;0.74;0.78;1.37;3.5
Situação do domicílio;;;;;;;
Urbana;0.53;1.98;1.28;0.96;0.93;1.46;3.72
Rural;2.75;4.48;3.22;3.2;3.9;5.15;11.15
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;0.35;5.31;1.96;2.06;2.38;4.27;10.91
Rondônia;0.89;16.19;6.4;4.37;3.93;10.45;40.99
Acre;1.06;10.08;7.55;6.47;8.14;15.63;33.18
Amazonas;0.76;11.89;3.94;4.72;5.3;9.49;19.12
Roraima;1.36;12.18;8.95;7.59;9.57;15.81;32.57
Pará;0.57;7.87;2.91;3.28;4.21;7.6;16.59
Amapá;0.99;32.27;7.96;8.79;15.6;16.75;47.4
Tocantins;0.69;12.06;7.43;5.61;4.95;11.57;38.26
Nordeste;0.22;2.61;1.38;1.58;2.18;3.64;6.52
Maranhão;1.16;13.93;4.39;8.29;12.33;15.45;16.12
Piauí;0.69;9.33;5.31;5.83;11.58;20.67;27.01
Ceará;0.36;5.16;2.66;3.63;3.38;7.57;12.26
Rio Grande do Norte;0.55;6.21;5.09;4.32;7.93;12.19;32.99
Paraíba;0.74;5.66;7.64;4.27;7.2;20.09;18.2
Pernambuco;0.49;4.99;3.32;3.63;3.4;7.55;11.81
Alagoas;0.73;5.65;3.64;5.83;9.74;15.88;15.85
Sergipe;0.92;8.16;3.36;5.1;7.32;12.11;26.55
Bahia;0.39;4.52;2.82;2.46;3.53;5.82;15.54
Sudeste;0.16;4.22;2.04;1.16;1.17;2.06;5.91
Minas Gerais;0.26;7.26;2.99;1.85;2.13;3.59;12.1
Espírito Santo;0.58;16.92;5.97;3.86;4.06;9.81;20.21
Rio de Janeiro;0.3;6.95;3.79;2.42;2.08;3.64;12.54
São Paulo;0.26;7.19;3.93;1.9;1.8;3.09;8.56
Sul;0.17;6.61;3.53;1.94;1.46;2.7;8.77
Paraná;0.29;11.53;5.2;2.93;2.51;4.67;13.08
Santa Catarina;0.36;21.73;10.86;5.38;3.11;6.58;21.08
Rio Grande do Sul;0.27;7.65;5.23;2.8;2.18;3.31;14.01
Centro-Oeste;0.28;6.82;3.1;1.77;1.9;3.48;8.95
Mato Grosso do Sul;0.69;12.09;7.46;3.88;4.74;9.69;20.37
Mato Grosso;0.79;19.66;7.58;3.55;5.08;9.49;18.52
Goiás;0.37;8.03;4.21;2.56;2.35;5.41;14.49
Distrito Federal;0.49;12.6;7.47;5.57;4.67;5.78;14.44
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;;
