;total;menos de 1/4;1/4 a menos de 1/2;1/2 a menos de 1;1 a menos de 2;2 ou mais;sem rendimento (2)
               brasil;0.29;0.8;0.58;0.4;0.37;0.44;1.81
urbana;0.32;1.02;0.67;0.45;0.4;0.46;1.97
rural;0.69;1.09;0.96;0.88;0.93;1.66;4.89
norte;1.78;3.27;2.71;1.87;1.39;1.56;9.03
rondônia;1.4;5.9;2.59;2.51;1.93;2.92;12.19
acre;4.87;7.22;5.65;6.93;5.58;4.25;6.15
amazonas;2.28;5.13;3.92;3.12;2.37;3.05;12.44
roraima;2.57;9.34;4.68;3.49;4.2;5.8;28.09
pará;3.83;5.56;5.17;3.85;3.16;3.45;17.28
amapá;3.71;7.65;6.03;5.52;3.81;6.26;3.3
tocantins;2.28;3.03;5.63;1.87;3.02;2.95;15.62
nordeste;0.57;1.02;0.88;0.69;0.77;0.96;3.15
maranhão;1.86;3.71;4.01;1.97;3.35;4.91;8.42
piauí;1.79;2.03;3.1;2.45;3.07;4.58;31.51
ceará;0.91;2.04;1.46;1.34;1.81;2.09;7.84
rio grande do norte;3.95;6.86;4.59;4.62;4.51;4.35;14.42
paraíba;2.49;4.05;4.41;2.1;2.91;4.33;8.42
pernambuco;1.16;2.55;1.48;1.44;1.21;2.04;6.94
alagoas;2.84;3.03;3.08;4.87;3.94;3.3;7.44
sergipe;2.47;3.27;4.4;2.24;3.14;3.47;26.62
bahia;1.09;2.12;1.45;1.38;1.3;1.39;5.26
sudeste;0.45;1.57;0.95;0.69;0.6;0.69;3.05
minas gerais;0.95;2.51;1.48;1.34;1.31;1.27;4.5
espírito santo;1.74;5.29;3.11;2.33;2.5;2.47;6.24
rio de janeiro;1.14;3.35;2.51;1.59;1.33;1.46;6.41
são paulo;0.58;2.78;1.52;0.99;0.81;0.98;4.91
sul;0.51;1.91;1.23;0.77;0.65;0.88;3.58
paraná;0.85;2.89;2.1;1.42;1.35;1.26;6.43
santa catarina;1.35;7.42;3.23;1.6;1.18;2.02;7.87
rio grande do sul;0.64;2.53;1.54;0.99;0.84;1.36;3.67
centro-oeste;0.81;3.18;1.58;1.14;1.11;1.06;4.16
mato grosso do sul;1.71;7.61;3.59;2.11;2.3;2.53;9.62
mato grosso;2.18;7.84;3.59;2.31;2.73;3.51;9.58
goiás;1.21;3.79;2.15;1.78;1.68;1.84;6.36
distrito federal;1.6;8.03;4.36;3.32;2.36;1.35;7.06
