;unnamed: 1_level_0;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
;0.4465775273781689;0.5916269050091192;0.5583201206010113;0.5509200238717058;0.5128401076865885;0.600997545779106;0.6860822572298536;0.7613164300478478
Situação do domicílio;;;;;;;;
urbana;0.47;0.67;0.6;0.59;0.55;0.66;0.76;0.85
rural;1.08;1.2;1.31;1.41;1.17;1.24;1.36;1.4
norte;2.64;3.06;2.91;2.89;2.91;2.71;2.73;2.87
rondônia;2.06;3.5;3.2;2.63;2.55;2.94;3.25;4.36
acre;5.24;5.88;5.71;4.7;6.02;7.87;7.76;8.68
amazonas;3.11;4.11;4.24;3.01;3.51;3.87;3.77;4.87
roraima;3.07;5.19;4.93;4.12;3.21;4.97;6.67;7.89
pará;6.28;6.81;6.6;6.71;7.24;6.88;5.98;6.22
amapá;7.45;7.14;7.9;7.86;8.63;8.37;14.62;10.84
tocantins;3.22;2.98;3.04;3.36;4.11;5.69;5.24;6.04
nordeste;0.98;1.15;1.14;1.13;1.15;1.23;1.39;1.33
maranhão;3.53;4.6;4.17;3.39;4.59;4.12;5.6;4.01
piauí;2.65;2.84;3.11;3.38;3.09;3.74;3.77;4.06
ceará;1.76;2.14;2.51;2.24;1.82;2.78;2.77;2.52
rio grande do norte;6.6;7.7;6.76;8.11;6.99;8.34;8.71;5.39
paraíba;5.2;5.22;5.68;5.59;5.7;7.18;7.35;7.81
pernambuco;1.77;2.02;1.93;2.19;2.26;2.31;2.83;2.59
alagoas;4.7;4.64;6.15;3.98;5.8;4.56;5.26;6.15
sergipe;4.32;6.08;5.98;4.04;4.78;4.96;5.4;3.62
bahia;1.83;1.97;1.88;2.25;2.15;2.19;2.63;2.72
sudeste;0.63;0.85;0.81;0.84;0.77;0.95;1.1;1.26
minas gerais;1.3;1.46;1.64;1.48;1.55;1.87;1.96;2.02
espírito santo;2.41;3.07;3.08;3.3;2.93;3.53;5.09;5.4
rio de janeiro;1.73;2.23;2.04;2.2;1.99;2.06;2.48;2.48
são paulo;0.81;1.23;1.11;1.17;1.04;1.39;1.62;2.0
sul;0.78;1.18;1.02;0.98;0.85;1.16;1.34;1.62
paraná;1.31;2.22;1.82;1.72;1.55;1.5;2.45;2.87
santa catarina;1.79;2.52;2.24;2.19;1.71;2.87;2.77;2.98
rio grande do sul;1.1;1.47;1.42;1.31;1.24;1.91;1.94;2.45
centro-oeste;1.13;1.62;1.6;1.35;1.22;1.76;2.01;2.25
mato grosso do sul;2.08;2.56;2.57;2.41;2.33;2.87;4.5;3.34
mato grosso;2.44;3.2;3.86;3.08;2.57;4.8;5.17;6.86
goiás;1.79;2.56;2.41;2.21;1.95;2.69;2.76;3.4
