;unnamed: 1_level_0;sem instrução;fundamental ou equivalente;fundamental ou equivalente;médio ou equivalente;médio ou equivalente;superior ou equivalente;superior ou equivalente
;total;unnamed: 2_level_1;incompleto;completo;incompleto;completo;incompleto;completo
               brasil;0.45;0.81;0.54;0.65;0.67;0.53;0.92;0.85
urbana;0.47;0.91;0.58;0.7;0.72;0.56;0.95;0.87
rural;1.08;1.28;1.08;1.46;1.88;1.71;3.58;2.41
norte;2.64;4.07;3.12;2.96;3.35;2.23;2.89;2.54
rondônia;2.06;2.83;2.58;3.28;3.7;2.76;5.67;4.51
acre;5.24;6.58;6.11;5.9;8.71;7.4;6.15;6.48
amazonas;3.11;4.79;3.43;4.09;5.15;3.5;5.47;4.68
roraima;3.07;5.05;3.2;8.28;7.09;3.87;7.87;6.24
pará;6.28;8.63;6.72;7.01;8.07;5.62;7.74;7.21
amapá;7.45;13.21;9.78;8.86;9.58;5.55;12.5;8.12
tocantins;3.22;6.28;3.38;4.22;3.67;2.43;4.19;3.24
nordeste;0.98;1.31;1.16;1.43;1.31;1.19;2.36;2.13
maranhão;3.53;3.81;4.39;7.48;3.44;3.99;10.2;8.43
piauí;2.65;2.1;2.43;3.59;5.3;4.12;10.91;7.35
ceará;1.76;3.03;2.1;2.36;2.59;2.26;6.07;4.29
rio grande do norte;6.6;7.37;7.53;7.52;7.34;7.94;9.22;9.36
paraíba;5.2;7.45;6.12;4.35;5.19;4.59;8.67;9.39
pernambuco;1.77;2.46;2.02;2.32;3.69;2.45;4.39;4.57
alagoas;4.7;4.92;5.7;6.46;7.98;5.56;10.73;8.68
sergipe;4.32;4.39;5.32;5.13;7.95;4.92;7.48;6.48
bahia;1.83;2.75;1.99;2.28;2.13;2.37;4.54;3.67
sudeste;0.63;1.22;0.73;1.04;1.08;0.8;1.44;1.29
minas gerais;1.3;2.06;1.4;1.86;1.92;1.68;2.65;2.24
espírito santo;2.41;3.55;2.52;3.52;5.32;4.13;7.2;5.52
rio de janeiro;1.73;3.27;1.87;2.37;2.58;2.08;3.5;2.99
são paulo;0.81;1.8;1.0;1.54;1.55;1.04;1.94;1.77
sul;0.78;1.54;0.92;1.17;1.27;1.04;1.72;1.49
paraná;1.31;2.58;1.75;2.18;2.15;1.57;3.01;2.88
santa catarina;1.79;2.44;1.95;2.44;3.21;2.33;3.37;2.43
rio grande do sul;1.1;2.29;1.25;1.54;1.76;1.58;2.43;2.08
centro-oeste;1.13;2.1;1.35;1.87;1.98;1.47;2.23;1.85
mato grosso do sul;2.08;4.28;2.74;2.93;4.08;2.56;4.01;4.05
mato grosso;2.44;4.98;2.82;3.91;4.34;3.11;6.4;6.63
goiás;1.79;2.82;1.94;3.15;2.81;2.3;3.48;3.21
distrito federal;3.12;6.21;4.18;4.94;5.5;3.92;4.37;2.49
