;unnamed: 1_level_0;sem instrução;fundamental ou equivalente;fundamental ou equivalente;médio ou equivalente;médio ou equivalente;superior ou equivalente;superior ou equivalente
;total;unnamed: 2_level_1;incompleto;completo;incompleto;completo;incompleto;completo
               brasil;0.69;1.14;0.82;0.95;0.95;0.8;1.39;1.33
urbana;0.7;1.3;0.85;1.01;1.0;0.85;1.43;1.38
rural;1.49;1.74;1.53;2.11;2.2;2.42;4.63;3.76
norte;3.4;4.95;3.97;3.6;4.14;2.93;4.31;3.82
rondônia;2.8;3.5;3.25;4.9;4.72;3.13;6.7;8.57
acre;11.46;13.87;13.47;8.47;17.2;13.03;17.13;13.38
amazonas;4.28;5.3;4.47;4.39;6.64;5.0;9.74;8.22
roraima;4.38;4.87;4.51;9.34;7.81;6.31;9.3;6.82
pará;8.56;10.88;9.16;9.25;10.52;7.86;13.24;10.73
amapá;8.76;12.74;10.48;10.99;10.89;8.45;15.36;8.38
tocantins;3.13;4.37;2.94;4.74;2.62;3.61;6.73;4.6
nordeste;1.67;1.94;1.86;2.46;2.02;1.82;3.71;3.21
maranhão;8.0;7.67;9.42;14.66;8.37;5.54;22.71;13.2
piauí;5.66;5.65;5.61;5.25;7.79;8.9;13.32;12.2
ceará;4.07;5.65;4.42;4.39;3.9;5.42;10.94;7.69
rio grande do norte;9.05;10.77;9.25;10.07;8.47;11.93;12.72;12.38
paraíba;5.58;6.46;4.91;6.2;7.93;6.56;9.93;10.75
pernambuco;2.76;3.07;3.24;3.41;5.57;3.69;8.37;6.59
alagoas;8.57;7.16;9.96;11.65;11.22;9.13;15.09;12.77
sergipe;5.55;8.11;7.04;7.63;7.48;5.78;8.2;9.3
bahia;2.72;3.63;2.88;3.15;3.07;3.21;6.6;6.53
sudeste;0.94;1.65;1.13;1.47;1.53;1.23;2.19;2.11
minas gerais;1.87;2.73;1.98;2.32;2.54;2.45;3.94;3.21
espírito santo;3.82;5.62;4.09;4.28;8.17;5.47;9.43;7.57
rio de janeiro;2.27;4.15;2.59;3.65;4.02;2.93;5.56;4.97
são paulo;1.3;2.43;1.74;2.22;2.16;1.67;2.98;3.03
sul;1.37;2.06;1.5;1.75;1.87;1.76;2.72;2.3
paraná;2.2;3.09;2.82;3.17;2.81;2.5;4.86;4.22
santa catarina;3.68;3.88;3.47;3.94;5.16;4.62;5.82;4.61
rio grande do sul;1.64;3.78;1.94;2.09;2.62;2.14;3.55;3.27
centro-oeste;1.41;2.68;1.73;2.15;2.21;1.72;2.8;2.43
mato grosso do sul;3.21;5.96;4.4;3.41;5.0;3.08;4.68;5.36
mato grosso;2.78;4.43;3.48;4.73;3.97;3.67;7.34;8.87
goiás;2.21;4.3;2.32;3.54;3.36;2.68;4.75;4.15
distrito federal;3.73;7.32;5.13;5.9;6.85;4.74;5.48;3.39
