;Unnamed: 1_level_0;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
               Brasil;0.46077506889914754;0.8689387367465907;0.7130611787058495;0.7253330171694417;0.6265734046797744;0.9669477424167743;1.1282019871549238;1.4281756228813793
Situação do domicílio;;;;;;;;
Urbana;0.72;1.1;0.96;1.0;0.85;1.14;1.36;1.6
Rural;2.88;3.31;3.29;3.15;3.05;3.44;3.59;3.85
Grandes Regiões e Unidades da Federação;;;;;;;;
Norte;2.71;3.08;3.07;3.13;3.09;4.27;4.74;5.76
Rondônia;2.6;6.28;4.9;3.98;3.13;5.28;7.4;10.01
Acre;4.68;4.3;7.18;7.25;6.44;10.39;8.22;13.24
Amazonas;3.27;4.2;4.69;3.76;4.24;6.08;8.59;9.88
Roraima;3.45;6.35;8.37;7.35;5.25;10.08;19.36;20.42
Pará;6.41;6.66;6.73;7.09;7.49;10.03;9.3;11.62
Amapá;7.42;12.36;10.3;7.01;8.79;11.34;20.31;24.8
Tocantins;3.47;4.7;4.9;5.14;5.29;9.72;11.1;11.17
Nordeste;1.0;1.68;1.39;1.37;1.31;1.91;2.03;2.48
Maranhão;3.52;7.2;5.01;5.1;5.2;6.54;7.45;6.52
Piauí;2.71;6.04;6.25;4.62;3.05;5.85;4.76;7.9
Ceará;1.78;3.33;2.9;3.42;2.0;3.83;4.13;5.04
Rio Grande do Norte;6.87;5.87;7.87;6.91;8.7;11.91;11.57;7.22
Paraíba;4.74;5.33;4.83;8.12;5.25;8.66;10.62;11.32
Pernambuco;1.9;3.59;2.4;2.56;2.32;3.78;3.64;5.8
Alagoas;4.94;5.02;8.34;3.38;6.53;7.17;7.81;11.08
Sergipe;4.9;5.96;7.11;5.05;5.38;6.44;8.97;8.6
Bahia;1.88;3.22;2.33;2.38;2.67;3.96;4.24;5.6
Sudeste;0.66;1.43;1.14;1.2;0.99;1.5;1.88;2.3
Minas Gerais;1.35;2.44;1.82;2.0;1.9;2.8;3.08;4.01
Espírito Santo;2.68;4.31;4.21;3.65;4.28;6.04;8.1;10.25
Rio de Janeiro;1.8;2.93;2.74;2.4;2.47;2.92;3.7;4.06
São Paulo;0.84;2.26;1.74;1.87;1.38;2.3;2.99;3.7
Sul;0.81;1.95;1.44;1.54;1.11;2.26;2.3;3.42
Paraná;1.36;3.34;2.65;2.25;1.88;3.88;4.02;6.18
Santa Catarina;1.85;4.67;2.95;3.6;1.65;4.25;4.55;8.76
Rio Grande do Sul;1.19;2.59;2.03;2.42;1.99;3.6;3.51;4.33
Centro-Oeste;1.16;2.23;1.98;1.66;1.71;2.46;3.36;4.48
Mato Grosso do Sul;2.06;4.57;3.9;3.15;3.03;4.41;7.64;6.64
Mato Grosso;2.7;5.4;4.56;3.61;4.39;6.29;8.89;15.14
Goiás;1.8;3.34;3.13;2.81;2.58;3.77;4.67;6.19
