;"Total
(1)";Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo)
;;"Menos
de 1/4 ";"1/4 a menos
de 1/2 ";"1/2 a menos
de 1 ";"1 a menos
de 2";2 ou mais ;"Sem
rendimento
(2)"
               Brasil;0.69;2.87;1.49;1.16;1.13;1.77;4.73
Situação do domicílio;;;;;;;
Urbana;0.86;2.86;1.74;1.34;1.29;1.9;4.89
Rural;3.26;5.38;3.88;3.55;4.26;6.29;13.48
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;3.48;8.0;4.11;4.17;4.73;5.43;14.01
Rondônia;3.29;22.03;7.09;6.33;4.54;12.73;35.16
Acre;10.72;20.88;14.12;10.7;11.84;17.82;37.37
Amazonas;4.41;18.3;5.91;6.58;8.03;11.89;24.11
Roraima;4.75;16.7;11.55;7.6;11.04;19.64;42.17
Pará;8.73;12.64;8.4;9.91;13.25;13.69;25.29
Amapá;8.75;40.8;14.43;11.82;15.75;17.85;49.0
Tocantins;3.39;15.48;12.16;6.18;5.31;9.33;50.43
Nordeste;1.66;4.11;2.46;2.55;2.77;4.96;9.68
Maranhão;7.42;22.54;9.67;10.94;12.1;24.57;24.08
Piauí;5.93;10.68;8.71;9.42;10.02;19.18;46.2
Ceará;4.14;9.19;5.72;6.93;5.23;11.32;18.13
Rio Grande do Norte;9.3;11.03;10.21;11.62;15.04;16.03;45.38
Paraíba;5.6;8.46;11.77;6.24;8.84;18.15;24.56
Pernambuco;2.84;7.66;4.67;6.12;5.21;10.33;14.22
Alagoas;8.58;12.73;10.47;9.58;14.33;20.68;13.44
Sergipe;5.89;8.03;9.75;9.42;11.03;15.05;30.08
Bahia;2.75;6.61;4.17;4.49;5.34;9.2;22.04
Sudeste;0.95;5.36;2.56;1.74;1.74;2.7;7.51
Minas Gerais;1.9;9.16;3.93;2.84;3.16;4.63;14.8
Espírito Santo;4.06;19.41;8.72;4.42;6.81;10.36;31.68
Rio de Janeiro;2.34;8.29;5.97;3.61;3.5;4.7;15.27
São Paulo;1.31;8.86;4.53;2.85;2.57;4.02;10.95
Sul;1.39;7.09;4.68;2.94;2.2;3.43;11.23
Paraná;2.18;12.37;6.85;4.86;3.35;5.59;17.67
Santa Catarina;3.76;23.47;11.21;7.4;5.37;7.91;21.78
Rio Grande do Sul;1.71;7.88;7.59;4.01;2.92;4.36;19.49
Centro-Oeste;1.4;7.96;4.44;2.46;2.85;4.23;12.5
Mato Grosso do Sul;3.05;18.43;11.62;6.77;5.31;10.24;20.94
Mato Grosso;2.81;18.63;9.77;4.44;7.72;12.97;28.13
Goiás;2.19;9.78;5.66;3.37;3.88;6.23;19.78
Distrito Federal;3.77;21.45;10.93;8.08;6.98;7.55;21.52
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;;
