;Unnamed: 1_level_0;Economicamente ativas;Economicamente ativas;Economicamente ativas;"Não economicamente
 ativas"
;;Total;Condição de ocupação na semana de referência;Condição de ocupação na semana de referência.1;Unnamed: 5_level_1
               Brasil;0.29;0.29;0.29;0.59;0.35
Situação do domicílio;;;;;
Urbana;0.31;0.32;0.32;0.6;0.37
Rural;0.69;0.69;0.67;2.77;0.78
Grandes Regiões e Unidades da Federação;;;;;
Norte;1.77;1.57;1.54;2.69;2.21
Rondônia;1.39;1.54;1.56;5.37;1.98
Acre;4.85;4.91;4.9;8.01;4.93
Amazonas;2.28;2.05;2.07;4.02;2.93
Roraima;2.57;2.88;2.66;8.04;2.81
Pará;3.81;3.48;3.41;5.4;4.47
Amapá;3.69;3.4;3.51;5.2;4.37
Tocantins;2.29;2.57;2.57;3.9;1.94
Nordeste;0.57;0.57;0.56;1.12;0.63
Maranhão;1.85;1.95;1.92;5.38;2.01
Piauí;1.77;1.89;1.9;4.3;1.92
Ceará;0.91;0.87;0.87;2.44;1.15
Rio Grande do Norte;3.93;4.16;4.1;6.35;3.74
Paraíba;2.49;2.43;2.41;4.29;2.76
Pernambuco;1.16;1.3;1.21;2.66;1.12
Alagoas;2.83;2.7;2.78;4.1;3.17
Sergipe;2.47;2.7;2.42;5.85;2.29
Bahia;1.09;1.06;1.07;1.62;1.27
Sudeste;0.45;0.47;0.47;0.91;0.51
Minas Gerais;0.95;0.99;0.99;1.81;1.02
Espírito Santo;1.74;1.93;1.92;4.07;1.86
Rio de Janeiro;1.14;1.17;1.16;2.05;1.21
São Paulo;0.58;0.63;0.64;1.27;0.7
Sul;0.51;0.54;0.56;1.27;0.59
Paraná;0.85;0.9;0.93;2.21;0.98
Santa Catarina;1.34;1.44;1.51;2.84;1.39
Rio Grande do Sul;0.64;0.65;0.66;1.77;0.87
Centro-Oeste;0.81;0.8;0.8;1.71;1.01
Mato Grosso do Sul;1.71;1.7;1.75;3.2;1.96
Mato Grosso;2.18;2.08;2.08;4.23;2.79
Goiás;1.21;1.26;1.25;2.86;1.52
