;Unnamed: 1_level_0;Sem instrução;Fundamental ou equivalente;Fundamental ou equivalente;Médio ou equivalente;Médio ou equivalente;Superior ou equivalente;Superior ou equivalente
;;Unnamed: 2_level_1;Incompleto ;Completo ;Incompleto ;Completo ;Incompleto ;Completo 
               Brasil;0.0;1.26;0.47;0.8;0.8;0.68;1.39;1.65
Situação do domicílio;;;;;;;;
Urbana;0.0;1.37;0.51;0.83;0.83;0.6;1.4;1.66
Rural;0.0;2.28;0.74;2.45;2.61;3.14;5.58;5.81
Grandes Regiões e Unidades da Federação;;;;;;;;
Norte;0.0;4.1;1.13;2.21;2.65;1.87;3.71;4.24
Rondônia;0.0;7.35;2.64;5.89;5.72;3.3;9.9;10.97
Acre;0.0;5.55;4.32;5.57;7.79;4.57;10.91;14.08
Amazonas;0.0;10.72;2.25;5.08;4.29;3.11;7.95;10.42
Roraima;0.0;10.09;5.29;8.71;9.97;6.4;13.86;17.43
Pará;0.0;6.84;1.79;3.47;4.64;3.53;6.31;7.48
Amapá;0.0;11.05;6.05;8.67;8.54;7.28;12.47;15.91
Tocantins;0.0;6.89;3.2;6.32;5.1;4.91;12.35;8.33
Nordeste;0.0;2.07;0.89;1.69;1.57;1.86;3.19;3.73
Maranhão;0.0;9.42;4.2;7.6;7.85;10.59;13.31;17.27
Piauí;0.0;11.0;3.83;9.88;9.07;11.67;16.03;20.94
Ceará;0.0;4.05;1.72;2.82;2.3;3.52;6.67;8.17
Rio Grande do Norte;0.0;5.1;3.76;7.03;6.19;4.0;13.42;13.84
Paraíba;0.0;8.87;2.66;4.33;7.98;6.58;16.49;17.66
Pernambuco;0.0;3.56;1.81;3.33;3.32;2.67;5.6;6.83
Alagoas;0.0;4.78;3.21;5.62;5.58;7.61;15.43;16.35
Sergipe;0.0;9.89;2.91;4.8;6.94;6.19;12.35;13.23
Bahia;0.0;3.53;1.62;3.03;2.27;2.84;5.84;6.36
Sudeste;0.0;2.05;0.8;1.3;1.36;0.92;2.19;2.45
Minas Gerais;0.0;3.77;1.31;2.29;2.54;1.93;4.34;4.25
Espírito Santo;0.0;6.77;2.96;4.39;5.62;4.13;10.2;10.08
Rio de Janeiro;0.0;4.21;1.46;2.61;2.71;1.7;4.22;4.51
São Paulo;0.0;3.19;1.34;2.02;2.06;1.33;3.21;3.66
Sul;0.0;4.36;1.22;1.7;1.8;1.58;3.25;3.78
Paraná;0.0;6.74;1.8;2.98;3.19;2.17;4.63;6.12
Santa Catarina;0.0;8.72;4.14;3.71;3.87;4.08;7.88;9.08
Rio Grande do Sul;0.0;7.32;1.33;2.36;2.5;2.42;5.02;5.08
Centro-Oeste;0.0;3.12;1.2;2.17;1.84;1.59;3.19;4.05
Mato Grosso do Sul;0.0;5.0;3.49;4.06;5.35;3.86;9.61;10.74
Mato Grosso;0.0;7.95;2.32;6.32;3.53;3.64;6.93;10.08
Goiás;0.0;4.36;1.54;3.18;2.87;2.68;5.15;6.15
Distrito Federal;0.0;7.38;3.64;4.14;3.95;2.73;5.56;7.24
