;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;0.1;0.24;0.28;1.25;0.38
urbana;0.53;0.58;0.58;1.31;0.64
rural;2.75;2.79;2.81;6.77;3.23
norte;0.34;0.97;1.09;2.98;1.26
rondônia;0.94;2.53;2.66;8.5;4.45
acre;1.07;2.08;2.49;13.71;3.98
amazonas;0.75;1.81;1.56;6.33;2.41
roraima;1.36;2.28;2.5;9.22;3.29
pará;0.54;1.72;2.04;4.66;2.01
amapá;0.99;4.96;5.16;10.57;5.98
tocantins;0.72;1.59;1.84;8.46;1.93
nordeste;0.22;0.58;0.66;2.54;0.82
maranhão;1.17;2.65;2.57;14.47;3.76
piauí;0.73;2.03;2.11;11.24;3.74
ceará;0.35;1.08;1.27;5.2;1.76
rio grande do norte;0.56;2.14;2.62;9.94;3.1
paraíba;0.75;1.66;1.89;11.11;1.52
pernambuco;0.51;1.45;2.06;5.62;1.48
alagoas;0.74;2.92;3.27;8.98;2.46
sergipe;0.93;1.28;1.71;5.97;3.15
bahia;0.39;1.06;1.23;4.1;1.71
sudeste;0.16;0.32;0.39;1.97;0.54
minas gerais;0.25;0.53;0.65;4.01;1.02
espírito santo;0.57;1.41;1.9;8.48;2.26
rio de janeiro;0.3;0.65;0.72;3.42;0.99
são paulo;0.26;0.5;0.62;2.91;0.85
sul;0.18;0.54;0.65;3.3;1.0
paraná;0.29;0.79;0.89;4.25;1.48
santa catarina;0.42;1.48;1.94;10.91;2.79
rio grande do sul;0.28;0.74;0.85;4.45;1.39
centro-oeste;0.27;0.73;0.78;2.89;1.29
mato grosso do sul;0.68;1.41;1.56;6.36;2.31
mato grosso;0.79;2.24;2.16;8.22;3.77
goiás;0.37;1.05;1.18;4.68;2.02
