;Unnamed: 1_level_0;Menos de 1/4 ;1/4 a menos de 1/2 ;1/2 a menos de 1 ;1 a menos de 2;2 ou mais ;Sem rendimento (2)
               Brasil;0.0;2.3604350730183636;1.1448108537071962;0.8659706961104675;0.8973819491153958;1.529838023620149;4.173721897455379
Situação do domicílio;;;;;;;
Urbana;0.0;2.39;1.35;0.92;0.9;1.55;4.32
Rural;0.0;3.38;1.99;1.94;3.01;5.18;11.64
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;0.0;5.84;2.69;2.64;2.55;4.82;12.38
Rondônia;0.0;19.68;7.34;4.2;4.43;9.89;44.33
Acre;0.0;11.48;8.15;7.89;6.9;15.35;32.62
Amazonas;0.0;15.05;4.13;7.02;6.38;10.28;21.47
Roraima;0.0;17.16;10.0;7.95;10.1;15.37;47.23
Pará;0.0;7.86;4.9;4.5;4.6;9.84;19.41
Amapá;0.0;36.28;7.49;10.0;20.76;18.16;49.52
Tocantins;0.0;14.35;9.39;4.58;5.7;13.09;45.02
Nordeste;0.0;3.15;1.64;1.86;2.64;4.32;8.19
Maranhão;0.0;17.19;6.26;8.91;15.0;20.78;18.49
Piauí;0.0;9.21;4.9;5.35;13.12;18.81;25.05
Ceará;0.0;6.43;3.28;4.91;3.74;8.82;14.47
Rio Grande do Norte;0.0;7.71;5.5;6.26;7.89;13.33;39.42
Paraíba;0.0;6.83;8.72;5.57;8.18;23.21;21.03
Pernambuco;0.0;6.2;3.75;4.44;3.88;8.4;12.72
Alagoas;0.0;6.13;3.85;7.28;10.25;19.71;13.35
Sergipe;0.0;9.35;5.37;6.55;7.53;11.68;29.87
Bahia;0.0;4.98;3.32;2.81;4.44;7.32;19.94
Sudeste;0.0;4.76;2.29;1.32;1.29;2.23;6.77
Minas Gerais;0.0;8.1;3.25;2.05;2.27;3.82;13.46
Espírito Santo;0.0;19.36;6.38;4.6;4.38;8.46;29.11
Rio de Janeiro;0.0;7.25;4.44;2.56;2.28;3.81;14.2
São Paulo;0.0;8.28;4.38;2.2;1.99;3.32;9.77
Sul;0.0;7.26;3.99;2.3;1.69;2.92;10.37
Paraná;0.0;12.88;5.83;3.57;3.1;5.01;16.11
Santa Catarina;0.0;23.45;10.23;5.97;3.26;6.66;22.77
Rio Grande do Sul;0.0;8.0;6.24;3.37;2.51;3.74;16.9
Centro-Oeste;0.0;7.88;3.82;1.94;2.22;3.89;11.09
Mato Grosso do Sul;0.0;13.84;9.31;4.66;5.41;9.98;20.38
Mato Grosso;0.0;20.35;8.46;3.31;5.72;12.37;23.56
Goiás;0.0;9.6;5.16;2.76;2.7;5.95;17.98
Distrito Federal;0.0;18.36;9.6;7.22;5.83;5.48;19.17
