;unnamed: 1_level_0;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
;0.32123234140655804;0.7300234502261332;0.5857811729436397;0.6244091317296574;0.5241735312581179;0.8549030715948277;1.0042404077601033;1.2936979047673907
Situação do domicílio;;;;;;;;
urbana;0.63;0.97;0.85;0.89;0.76;1.04;1.23;1.46
rural;2.84;3.23;3.25;3.12;2.99;3.35;3.49;3.8
norte;1.88;2.37;2.12;2.42;2.24;3.67;3.79;4.97
rondônia;1.86;5.27;4.17;3.97;2.63;5.5;6.9;9.53
acre;4.32;4.44;7.02;7.27;5.8;8.41;8.75;13.64
amazonas;2.51;3.68;3.86;3.34;3.57;5.18;7.84;8.6
roraima;3.04;6.54;7.09;6.43;4.89;10.11;20.74;19.07
pará;4.0;4.63;4.0;4.92;4.7;7.59;6.55;9.37
amapá;3.83;9.33;6.87;6.87;6.03;9.27;13.32;20.31
tocantins;2.62;4.87;4.36;3.48;4.74;9.25;9.8;9.62
nordeste;0.63;1.33;1.1;1.15;1.04;1.62;1.75;2.17
maranhão;2.41;5.39;4.09;5.35;4.23;6.76;6.98;5.95
piauí;1.96;5.27;5.57;4.54;3.17;5.38;4.96;6.54
ceará;0.97;2.67;2.15;2.57;1.83;3.0;3.52;4.72
rio grande do norte;4.19;3.81;5.71;4.42;6.62;9.03;8.1;7.21
paraíba;2.59;3.59;5.42;5.48;4.89;5.77;7.43;8.24
pernambuco;1.34;3.3;1.96;1.87;1.87;3.38;2.94;5.33
alagoas;3.17;4.06;6.05;3.53;4.47;5.9;7.53;10.3
sergipe;3.16;4.02;4.64;4.26;3.21;5.63;8.86;10.2
bahia;1.14;2.72;1.71;1.93;1.99;3.27;3.76;4.72
sudeste;0.49;1.26;0.99;1.06;0.85;1.36;1.68;2.11
minas gerais;1.0;2.21;1.39;1.74;1.6;2.45;2.8;3.95
espírito santo;1.96;4.09;4.02;3.05;3.6;5.38;6.73;9.29
rio de janeiro;1.24;2.45;2.2;1.96;1.92;2.47;3.19;3.73
são paulo;0.65;1.99;1.57;1.69;1.24;2.16;2.73;3.34
sul;0.56;1.69;1.21;1.38;0.99;1.94;2.16;3.13
paraná;0.93;2.87;2.1;1.96;1.59;3.45;3.63;5.76
santa catarina;1.41;3.97;2.6;3.48;1.86;3.33;4.48;7.94
rio grande do sul;0.74;2.32;1.75;2.14;1.68;3.08;3.33;3.93
centro-oeste;0.86;2.04;1.75;1.44;1.55;2.08;3.0;4.09
mato grosso do sul;1.65;4.77;3.58;3.35;2.86;4.2;6.89;6.89
mato grosso;2.52;4.91;4.58;3.45;4.48;4.92;8.24;12.53
goiás;1.24;3.11;2.81;2.3;2.25;3.35;4.16;6.01
