;Unnamed: 1_level_0;Sem instrução;Fundamental ou equivalente;Fundamental ou equivalente;Médio ou equivalente;Médio ou equivalente;Superior ou equivalente;Superior ou equivalente
;;Unnamed: 2_level_1;Incompleto ;Completo ;Incompleto ;Completo ;Incompleto ;Completo 
               Brasil;0.29;0.62;0.37;0.47;0.45;0.34;0.58;0.5
Situação do domicílio;;;;;;;;
Urbana;0.31;0.72;0.41;0.51;0.48;0.36;0.59;0.51
Rural;0.69;0.93;0.71;1.02;1.26;1.1;2.53;1.93
Grandes Regiões e Unidades da Federação;;;;;;;;
Norte;1.77;3.21;2.22;1.9;2.1;1.28;1.74;1.42
Rondônia;1.39;2.35;1.85;2.54;2.86;1.89;4.03;3.2
Acre;4.85;6.31;5.51;4.56;7.72;5.52;6.41;5.58
Amazonas;2.28;3.47;2.81;3.0;2.96;2.35;3.26;2.79
Roraima;2.57;4.64;2.53;6.57;5.8;3.32;6.67;6.71
Pará;3.81;6.62;4.44;3.94;4.28;2.57;3.44;2.89
Amapá;3.69;7.93;5.03;6.22;5.66;3.93;8.87;6.37
Tocantins;2.29;3.77;2.43;2.77;3.59;2.31;3.8;2.51
Nordeste;0.57;0.95;0.69;0.87;0.86;0.7;1.21;1.03
Maranhão;1.85;2.1;2.48;4.23;3.28;3.23;6.23;5.52
Piauí;1.77;2.07;1.87;2.79;4.55;2.58;7.22;4.19
Ceará;0.91;1.96;1.22;1.37;1.59;1.24;2.8;2.18
Rio Grande do Norte;3.93;5.07;4.17;4.62;4.47;4.89;5.65;4.84
Paraíba;2.49;4.83;2.5;3.17;3.28;2.52;4.4;4.57
Pernambuco;1.16;2.18;1.43;1.64;2.03;1.26;1.93;1.96
Alagoas;2.83;3.9;3.13;4.38;4.29;4.05;6.08;3.05
Sergipe;2.47;2.65;2.77;2.84;5.49;3.32;4.26;3.91
Bahia;1.09;2.04;1.35;1.31;1.34;1.12;1.96;1.66
Sudeste;0.45;0.99;0.56;0.79;0.74;0.55;0.95;0.78
Minas Gerais;0.95;1.66;1.08;1.49;1.29;1.11;1.93;1.46
Espírito Santo;1.74;3.04;1.97;2.3;3.7;2.41;5.54;3.15
Rio de Janeiro;1.14;2.63;1.35;1.68;1.72;1.36;2.04;1.48
São Paulo;0.58;1.5;0.78;1.18;1.07;0.73;1.31;1.15
Sul;0.51;1.28;0.63;0.88;0.86;0.66;1.18;0.87
Paraná;0.85;2.28;1.14;1.67;1.57;1.07;2.1;1.55
Santa Catarina;1.34;1.8;1.64;1.95;2.06;1.46;2.62;1.95
Rio Grande do Sul;0.64;1.87;0.81;1.06;1.09;0.97;1.6;1.07
Centro-Oeste;0.81;1.72;1.02;1.28;1.33;0.93;1.56;1.22
Mato Grosso do Sul;1.71;3.19;2.33;2.1;3.06;1.75;3.13;3.03
Mato Grosso;2.18;4.22;2.52;3.01;3.11;2.75;5.13;4.72
Goiás;1.21;2.44;1.42;2.11;1.93;1.4;2.47;1.99
Distrito Federal;1.59;3.9;2.4;2.89;3.04;1.74;2.37;1.38
