;Unnamed: 1_level_0;Agrícola;Indústria;Construção;Comércio e Reparação;Serviços
               Brasil;0.572439351099873;2.858776328598475;1.5572667748141305;1.4967896432971928;1.1429759055274535;0.8122049132908592
Situação do domicílio;;;;;;
Urbana;0.77;3.52;1.74;1.66;1.24;0.93
Rural;2.98;3.56;7.01;5.77;5.62;3.87
Grandes Regiões e Unidades da Federação;;;;;;
Norte;3.11;7.47;6.23;3.93;3.7;3.46
Rondônia;4.28;11.03;14.86;7.41;4.99;6.35
Acre;6.59;16.28;14.45;10.35;12.68;9.11
Amazonas;2.61;5.45;6.31;7.27;5.9;4.11
Roraima;4.1;6.09;17.99;15.63;9.14;8.34
Pará;7.66;17.45;12.17;8.75;7.63;9.02
Amapá;5.67;40.49;14.46;15.45;14.74;7.04
Tocantins;4.31;15.9;8.6;7.8;7.14;4.32
Nordeste;1.3;4.51;3.56;3.0;2.71;1.83
Maranhão;4.19;18.62;22.01;11.2;13.77;8.16
Piauí;4.05;13.94;9.26;12.29;9.89;8.2
Ceará;2.4;9.7;5.7;7.13;5.42;3.66
Rio Grande do Norte;9.29;19.51;12.49;8.11;13.12;8.54
Paraíba;5.17;14.02;11.36;12.24;8.89;7.78
Pernambuco;3.73;13.24;8.51;8.14;6.09;3.61
Alagoas;5.55;10.88;17.12;9.73;9.85;9.07
Sergipe;5.17;14.31;18.84;12.1;7.63;9.55
Bahia;2.27;7.42;7.86;4.95;4.23;3.04
Sudeste;0.8;5.87;2.34;2.41;1.71;1.14
Minas Gerais;1.56;7.3;5.27;3.77;3.33;2.01
Espírito Santo;3.86;18.46;11.44;11.27;6.64;5.18
Rio de Janeiro;1.99;19.25;4.11;5.02;3.41;2.3
São Paulo;1.1;12.6;3.11;3.87;2.5;1.73
Sul;1.18;7.42;3.15;3.42;2.59;2.24
Paraná;1.74;10.18;4.89;5.27;3.97;2.87
Santa Catarina;3.27;20.98;5.3;7.95;6.23;6.44
Rio Grande do Sul;1.46;10.29;5.7;5.34;3.62;3.15
Centro-Oeste;1.55;7.4;4.76;4.55;3.05;2.02
Mato Grosso do Sul;2.58;12.21;13.7;7.33;7.23;4.76
Mato Grosso;3.95;11.59;12.77;15.42;8.08;5.36
Goiás;2.45;13.08;5.12;6.14;4.24;3.01
Distrito Federal;3.27;41.18;8.93;9.0;6.0;4.09
