;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;0.0;0.24;0.28;1.38;0.39
urbana;0.0;0.24;0.27;1.3;0.37
rural;0.0;0.77;0.84;5.79;1.48
norte;0.0;0.95;1.06;3.6;1.48
rondônia;0.0;2.65;2.83;10.31;5.04
acre;0.0;2.21;2.73;16.99;3.75
amazonas;0.0;2.16;1.82;8.07;3.06
roraima;0.0;2.19;2.24;9.9;3.24
pará;0.0;1.61;1.99;5.69;2.39
amapá;0.0;5.5;5.58;10.72;6.88
tocantins;0.0;1.24;1.6;8.68;2.52
nordeste;0.0;0.56;0.64;2.75;0.82
maranhão;0.0;2.51;2.48;16.5;3.22
piauí;0.0;1.96;2.13;11.04;3.53
ceará;0.0;1.07;1.23;6.11;1.73
rio grande do norte;0.0;2.25;2.71;11.1;3.42
paraíba;0.0;1.44;1.57;13.14;1.6
pernambuco;0.0;1.37;1.96;5.54;1.75
alagoas;0.0;2.47;2.68;10.2;2.77
sergipe;0.0;1.89;2.11;6.94;2.86
bahia;0.0;1.08;1.23;4.43;1.85
sudeste;0.0;0.33;0.39;2.17;0.54
minas gerais;0.0;0.53;0.64;4.34;0.98
espírito santo;0.0;1.36;1.89;9.56;2.56
rio de janeiro;0.0;0.72;0.78;3.7;0.97
são paulo;0.0;0.5;0.61;3.23;0.85
sul;0.0;0.56;0.68;3.69;1.06
paraná;0.0;0.87;0.97;4.79;1.56
santa catarina;0.0;1.42;1.94;11.39;2.94
rio grande do sul;0.0;0.78;0.89;5.28;1.5
centro-oeste;0.0;0.75;0.8;3.29;1.4
mato grosso do sul;0.0;1.34;1.48;7.0;2.5
mato grosso;0.0;2.22;2.17;8.88;4.19
goiás;0.0;1.15;1.29;5.49;2.21
