;unnamed: 1_level_0;empregados;trabalhadores domésticos;conta própria;empregadores;outra
;0.0;0.46206659155773816;1.2132295111212597;0.7426077894601727;1.737148005863507;2.705269225253193
Situação do domicílio;;;;;;
urbana;0.0;0.29;1.18;0.72;1.8;2.32
rural;0.0;2.47;4.56;2.1;6.12;2.54
grandes regiões e unidades da federação;;;;;;
norte;0.0;1.49;3.4;1.8;5.26;5.98
rondônia;0.0;2.97;8.82;5.04;11.92;12.22
acre;0.0;2.68;13.25;5.18;21.0;11.58
amazonas;0.0;1.84;6.79;3.74;12.76;7.87
roraima;0.0;4.58;17.81;9.4;23.27;20.41
pará;0.0;2.96;5.73;2.62;7.8;11.45
amapá;0.0;3.59;9.26;11.36;17.63;14.43
tocantins;0.0;3.09;9.89;6.62;16.1;14.01
nordeste;0.0;1.41;2.53;1.56;3.93;4.4
maranhão;0.0;8.24;11.46;5.96;16.95;16.93
piauí;0.0;4.95;11.64;3.22;17.45;11.18
ceará;0.0;3.1;4.2;2.96;8.2;8.83
rio grande do norte;0.0;3.07;8.43;5.96;13.39;12.7
paraíba;0.0;2.37;6.4;4.42;16.33;9.2
pernambuco;0.0;2.57;5.26;4.07;7.95;12.67
alagoas;0.0;3.38;9.9;6.1;17.29;10.35
sergipe;0.0;2.88;9.13;3.44;15.65;16.7
bahia;0.0;2.95;5.36;3.37;7.03;9.31
sudeste;0.0;0.46;1.91;1.17;2.79;4.43
minas gerais;0.0;0.91;2.99;1.82;4.31;5.87
espírito santo;0.0;3.25;7.86;3.48;12.34;17.45
rio de janeiro;0.0;0.87;3.71;2.13;5.64;11.6
são paulo;0.0;0.65;3.11;1.98;4.46;6.84
sul;0.0;1.32;3.02;1.83;3.65;6.9
paraná;0.0;1.64;3.97;2.81;6.72;9.3
santa catarina;0.0;3.32;9.8;5.32;7.53;21.82
rio grande do sul;0.0;2.25;4.5;2.4;5.08;8.46
centro-oeste;0.0;0.93;3.15;1.94;5.35;7.82
mato grosso do sul;0.0;2.26;6.05;3.95;9.5;14.65
mato grosso;0.0;2.19;7.5;5.42;13.29;11.54
goiás;0.0;1.57;4.89;2.64;8.84;13.83
