;Unnamed: 1_level_0;Empregados;Trabalhadores domésticos;Conta própria;Empregadores ;Outra
               Brasil;0.0;0.5023460566251736;1.3557850539373544;0.8469814352435084;1.928367476155567;2.8349312625633885
Situação do domicílio;;;;;;
Urbana;0.0;0.31;1.32;0.82;1.98;2.46
Rural;0.0;2.53;4.68;2.24;6.72;2.53
Grandes Regiões e Unidades da Federação;;;;;;
Norte;0.0;1.67;4.06;2.04;5.65;6.07
Rondônia;0.0;3.25;8.86;5.25;12.73;12.15
Acre;0.0;3.37;15.28;5.19;21.19;13.94
Amazonas;0.0;2.24;7.7;4.67;14.61;9.27
Roraima;0.0;4.85;21.9;9.3;24.11;21.46
Pará;0.0;3.51;7.82;2.98;8.36;12.18
Amapá;0.0;3.95;9.51;12.39;21.51;13.85
Tocantins;0.0;4.09;8.55;8.15;15.27;13.96
Nordeste;0.0;1.56;2.84;1.83;4.51;4.56
Maranhão;0.0;9.69;12.91;7.77;18.78;18.09
Piauí;0.0;5.31;12.95;3.5;19.53;10.95
Ceará;0.0;3.5;4.71;3.66;9.49;9.17
Rio Grande do Norte;0.0;3.71;9.23;7.14;15.58;14.83
Paraíba;0.0;2.57;8.49;5.38;17.43;10.38
Pernambuco;0.0;2.69;5.64;4.17;9.64;13.46
Alagoas;0.0;3.66;12.19;7.62;19.13;9.54
Sergipe;0.0;2.96;10.66;4.67;16.41;16.51
Bahia;0.0;3.09;5.95;3.74;7.89;9.4
Sudeste;0.0;0.5;2.09;1.28;3.03;4.89
Minas Gerais;0.0;1.04;3.2;2.09;4.58;6.46
Espírito Santo;0.0;3.61;8.85;3.9;13.41;17.57
Rio de Janeiro;0.0;0.98;4.0;2.36;5.71;11.61
São Paulo;0.0;0.67;3.42;2.14;5.02;7.54
Sul;0.0;1.37;3.37;1.91;4.1;7.02
Paraná;0.0;1.8;4.44;3.18;7.77;9.69
Santa Catarina;0.0;2.88;11.11;4.9;8.35;21.34
Rio Grande do Sul;0.0;2.48;4.87;2.56;5.59;9.1
Centro-Oeste;0.0;0.99;3.51;2.24;5.62;8.24
Mato Grosso do Sul;0.0;1.91;6.93;3.71;11.37;16.55
Mato Grosso;0.0;2.72;8.13;6.79;14.0;12.43
Goiás;0.0;1.64;5.59;3.1;9.04;14.49
