;Unnamed: 1_level_0;Agrícola;Indústria;Construção;Comércio e Reparação;Serviços
               Brasil;0.28174535526568933;2.641391363839776;1.2897164031932529;1.3001246141194958;0.912690399293796;0.5946635886935157
Situação do domicílio;;;;;;
Urbana;0.58;3.16;1.43;1.44;1.01;0.71
Rural;2.81;3.4;6.66;6.19;5.9;3.98
Grandes Regiões e Unidades da Federação;;;;;;
Norte;1.09;7.01;3.2;3.93;1.99;1.74
Rondônia;2.66;10.0;12.4;6.88;4.04;5.04
Acre;2.49;12.01;11.62;10.37;7.24;4.66
Amazonas;1.56;4.58;4.45;6.08;4.76;3.19
Roraima;2.5;7.57;14.08;15.41;7.05;6.51
Pará;2.04;14.68;5.14;7.75;2.89;3.08
Amapá;5.16;38.87;11.07;10.01;14.05;7.16
Tocantins;1.84;13.47;8.74;8.51;6.21;4.52
Nordeste;0.66;4.09;3.06;2.52;2.19;1.42
Maranhão;2.57;17.33;18.05;8.93;11.62;7.75
Piauí;2.11;13.6;8.9;10.03;10.25;7.75
Ceará;1.27;8.62;4.41;5.07;4.0;2.82
Rio Grande do Norte;2.62;11.34;9.2;8.0;7.75;3.65
Paraíba;1.89;9.81;8.8;10.74;7.5;5.84
Pernambuco;2.06;11.95;8.2;6.43;4.25;2.73
Alagoas;3.27;10.41;14.08;10.67;9.16;5.24
Sergipe;1.71;18.17;17.54;9.31;5.54;5.29
Bahia;1.23;6.96;7.14;4.63;3.39;2.38
Sudeste;0.39;5.55;1.98;2.17;1.35;0.81
Minas Gerais;0.65;6.74;4.57;3.49;2.74;1.57
Espírito Santo;1.9;17.27;8.02;8.8;5.67;3.64
Rio de Janeiro;0.72;19.39;2.88;4.3;2.33;1.29
São Paulo;0.62;12.32;2.68;3.52;2.01;1.28
Sul;0.65;7.11;2.65;2.92;2.26;1.86
Paraná;0.89;9.61;3.81;4.2;3.4;2.06
Santa Catarina;1.94;21.39;5.22;7.22;5.86;6.21
Rio Grande do Sul;0.85;9.36;4.65;4.74;3.09;2.68
Centro-Oeste;0.78;6.55;3.74;3.59;2.44;1.41
Mato Grosso do Sul;1.56;10.66;12.02;7.97;6.32;3.99
Mato Grosso;2.16;8.72;9.78;11.12;6.83;3.7
Goiás;1.18;12.09;4.15;4.8;3.22;2.22
Distrito Federal;1.14;38.42;6.84;6.79;3.99;2.21
