;total;sem instrução;fundamental incompleto ou equivalente;fundamental completo ou equivalente;médio incompleto ou equivalente;médio completo ou equivalente;superior incompleto ou equivalente;superior completo ou equivalente
               brasil;0.0;1.37;0.52;0.9;0.89;0.76;1.51;1.74
urbana;0.0;1.47;0.57;0.93;0.93;0.67;1.51;1.75
rural;0.0;2.37;0.77;2.62;2.77;3.06;6.31;6.24
norte;0.0;4.2;1.26;2.49;3.01;2.15;4.35;4.45
rondônia;0.0;8.35;3.03;7.0;6.22;3.52;10.58;11.54
acre;0.0;8.01;4.94;6.65;9.41;5.39;11.07;15.97
amazonas;0.0;11.88;2.32;5.65;4.73;3.82;8.82;11.03
roraima;0.0;11.68;6.23;9.92;10.54;6.68;13.53;18.31
pará;0.0;6.94;2.08;3.97;5.69;4.14;7.79;7.53
amapá;0.0;10.93;7.65;9.23;9.66;9.62;15.51;17.88
tocantins;0.0;7.17;3.08;6.47;5.8;4.52;12.42;9.38
nordeste;0.0;2.18;1.0;1.98;1.78;2.15;3.42;3.93
maranhão;0.0;9.02;5.05;9.48;8.17;12.83;15.55;20.46
piauí;0.0;10.95;3.63;10.82;10.22;13.13;14.85;20.81
ceará;0.0;4.19;1.9;3.19;2.65;3.99;7.67;9.28
rio grande do norte;0.0;6.69;3.87;7.44;7.46;4.72;14.85;13.66
paraíba;0.0;9.03;2.59;4.27;9.74;6.83;15.77;17.12
pernambuco;0.0;3.96;2.02;3.95;3.79;3.13;5.96;7.48
alagoas;0.0;5.9;3.7;6.07;6.43;8.3;17.33;16.04
sergipe;0.0;10.24;3.08;5.44;8.36;6.39;12.38;13.65
bahia;0.0;3.96;1.78;3.41;2.57;2.95;6.43;6.65
sudeste;0.0;2.19;0.89;1.44;1.5;1.01;2.36;2.59
minas gerais;0.0;4.19;1.41;2.53;2.95;2.06;4.76;4.42
espírito santo;0.0;7.53;3.03;4.67;4.73;4.25;10.64;9.85
rio de janeiro;0.0;4.4;1.59;2.86;2.99;1.85;4.56;4.76
são paulo;0.0;3.3;1.51;2.24;2.22;1.47;3.45;3.87
sul;0.0;4.65;1.26;1.84;1.92;1.63;3.47;3.89
paraná;0.0;7.42;1.95;3.27;3.56;2.18;5.26;6.46
santa catarina;0.0;8.53;4.11;4.03;3.61;4.01;8.6;9.1
rio grande do sul;0.0;7.92;1.37;2.55;2.78;2.61;4.93;5.2
centro-oeste;0.0;3.54;1.36;2.36;2.13;1.68;3.51;4.29
mato grosso do sul;0.0;5.08;4.01;5.03;5.91;4.77;10.26;11.37
mato grosso;0.0;9.02;2.43;6.46;4.22;3.74;8.38;11.75
goiás;0.0;5.09;1.73;3.53;3.26;2.63;5.66;6.62
distrito federal;0.0;7.99;3.94;4.51;4.73;3.12;5.7;7.01
