;unnamed: 1_level_0;sem instrução;fundamental ou equivalente;fundamental ou equivalente;médio ou equivalente;médio ou equivalente;superior ou equivalente;superior ou equivalente
;total;unnamed: 2_level_1;incompleto;completo;incompleto;completo;incompleto;completo
               brasil;0.1;1.25;0.45;0.8;0.81;0.7;1.42;1.68
urbana;0.53;1.47;0.72;0.97;1.01;0.83;1.5;1.74
rural;2.75;3.52;2.79;3.88;3.97;4.26;6.4;6.52
norte;0.34;4.04;1.07;2.33;2.76;1.97;3.78;4.32
rondônia;0.94;7.21;2.43;6.12;6.09;3.61;10.41;11.08
acre;1.07;5.39;4.4;5.56;7.75;4.94;11.24;14.33
amazonas;0.75;10.57;2.03;5.32;4.53;3.35;8.36;10.7
roraima;1.36;10.34;5.35;8.35;9.95;6.62;14.41;17.64
pará;0.54;6.73;1.7;3.72;4.87;3.69;6.28;7.6
amapá;0.99;11.18;5.74;8.79;8.09;7.79;12.76;16.3
tocantins;0.72;7.09;3.38;6.18;5.15;4.95;12.14;8.3
nordeste;0.22;2.02;0.86;1.71;1.64;1.95;3.25;3.79
maranhão;1.17;8.47;4.29;7.64;8.4;11.19;13.79;17.77
piauí;0.73;10.92;3.42;10.14;9.42;11.88;16.29;21.22
ceará;0.35;4.03;1.71;2.88;2.3;3.59;6.71;8.22
rio grande do norte;0.56;5.12;3.37;7.26;6.53;4.33;13.63;14.08
paraíba;0.75;8.8;2.71;4.63;8.44;6.53;16.5;17.72
pernambuco;0.51;3.48;1.77;3.41;3.49;2.85;5.71;6.93
alagoas;0.74;4.62;3.09;5.61;5.61;7.83;15.76;16.71
sergipe;0.93;9.63;2.54;5.09;6.97;6.71;12.69;13.72
bahia;0.39;3.64;1.48;2.99;2.3;2.97;5.92;6.46
sudeste;0.16;2.05;0.78;1.29;1.35;0.94;2.24;2.52
minas gerais;0.25;3.78;1.3;2.28;2.57;1.97;4.41;4.29
espírito santo;0.57;6.84;2.88;4.29;5.49;4.25;10.35;10.25
rio de janeiro;0.3;4.2;1.44;2.63;2.66;1.71;4.29;4.59
são paulo;0.26;3.19;1.29;1.98;2.02;1.35;3.3;3.78
sul;0.18;4.35;1.16;1.7;1.81;1.62;3.32;3.84
paraná;0.29;6.66;1.74;2.97;3.23;2.24;4.76;6.22
santa catarina;0.42;8.67;3.88;3.86;3.88;4.27;8.14;9.26
rio grande do sul;0.28;7.4;1.28;2.31;2.54;2.43;5.07;5.15
centro-oeste;0.27;3.13;1.14;2.19;1.85;1.64;3.28;4.12
mato grosso do sul;0.68;5.03;3.25;3.99;5.36;4.11;9.83;11.13
mato grosso;0.79;8.09;2.26;6.42;3.57;3.84;7.23;9.98
goiás;0.37;4.35;1.46;3.25;2.92;2.73;5.26;6.25
distrito federal;0.48;7.3;3.51;4.05;3.92;2.7;5.74;7.46
