;Unnamed: 1_level_0;Empregados;Trabalhadores domésticos;Conta própria;Empregadores ;Outra
               Brasil;0.810660048618206;0.8220101172228959;1.66542344669542;1.4673478421149155;2.4826691144188495;3.602306302567296
Situação do domicílio;;;;;;
Urbana;0.93;1.01;1.84;1.41;2.67;3.17
Rural;3.32;3.65;5.3;4.39;7.83;4.73
Grandes Regiões e Unidades da Federação;;;;;;
Norte;3.86;4.13;6.14;4.59;9.84;8.04
Rondônia;5.63;4.68;9.12;6.98;16.8;18.53
Acre;12.56;11.82;19.97;15.98;24.03;24.58
Amazonas;3.73;4.77;7.36;7.75;16.99;10.22
Roraima;4.83;7.84;23.71;9.43;24.42;22.72
Pará;10.05;11.42;16.36;9.45;19.41;17.75
Amapá;6.27;9.16;12.16;16.26;27.41;14.42
Tocantins;4.41;2.67;8.18;9.27;12.95;17.88
Nordeste;1.98;1.99;3.27;3.44;6.15;6.27
Maranhão;8.54;8.71;12.95;16.11;27.03;26.2
Piauí;7.26;8.8;13.55;7.21;17.03;15.4
Ceará;4.46;5.04;6.07;8.03;13.99;12.01
Rio Grande do Norte;11.95;12.23;14.16;12.6;19.87;25.37
Paraíba;5.7;4.97;7.77;8.63;17.8;14.92
Pernambuco;5.01;4.03;6.83;6.67;14.55;18.15
Alagoas;8.5;7.01;15.83;17.77;24.32;10.39
Sergipe;7.15;8.29;16.29;8.09;22.81;17.69
Bahia;3.16;3.53;6.98;6.88;10.9;12.12
Sudeste;1.08;1.17;2.75;1.93;3.94;5.97
Minas Gerais;2.05;2.19;3.96;2.89;5.48;7.87
Espírito Santo;5.47;4.45;9.5;8.94;17.77;23.6
Rio de Janeiro;2.5;2.81;5.41;3.83;8.24;13.33
São Paulo;1.52;1.67;4.64;3.24;6.61;7.95
Sul;1.84;1.91;3.26;3.06;5.09;8.28
Paraná;2.65;3.03;4.99;4.69;8.9;11.1
Santa Catarina;5.23;3.97;7.35;8.51;9.48;23.69
Rio Grande do Sul;2.06;3.04;5.26;3.98;8.07;11.14
Centro-Oeste;1.81;1.83;4.63;3.2;5.96;9.41
Mato Grosso do Sul;3.33;3.83;6.34;5.93;10.04;18.14
Mato Grosso;4.67;4.6;12.18;8.55;14.02;13.56
Goiás;2.76;2.74;7.36;4.43;10.29;17.12
