;unnamed: 1_level_0;menos de 1/4;1/4 a menos de 1/2;1/2 a menos de 1;1 a menos de 2;2 ou mais;sem rendimento (2)
;0.3215901734605898;2.2320244432996845;1.125550920193406;0.8680712067733217;0.8831743121712838;1.467898253645861;3.99187988609216
Situação do domicílio;;;;;;;
urbana;0.63;2.29;1.44;1.08;1.04;1.56;4.2
rural;2.84;4.67;3.34;3.29;4.04;5.6;11.8
grandes regiões e unidades da federação;;;;;;;
norte;1.89;6.41;3.09;3.04;3.15;4.67;11.97
rondônia;1.85;20.62;7.29;4.92;4.53;11.06;47.62
acre;4.32;13.0;7.49;10.08;7.24;16.75;34.08
amazonas;2.51;16.03;5.52;6.29;6.15;10.72;20.54
roraima;3.04;15.15;9.06;7.88;11.25;17.04;43.93
pará;4.02;9.09;5.17;5.62;6.54;8.76;18.21
amapá;3.85;38.69;10.8;8.08;16.67;17.7;46.69
tocantins;2.6;13.95;12.0;6.55;5.08;10.88;42.95
nordeste;0.63;3.06;1.65;1.85;2.41;3.79;7.8
maranhão;2.42;16.29;6.15;9.26;13.6;18.46;17.05
piauí;2.02;10.06;6.04;6.41;12.48;18.53;32.15
ceará;0.98;6.46;3.13;4.36;3.68;8.2;13.6
rio grande do norte;4.21;7.33;4.57;7.3;10.13;13.62;41.02
paraíba;2.6;6.75;10.12;5.3;7.01;18.8;21.98
pernambuco;1.33;5.9;3.66;4.16;3.72;7.95;12.92
alagoas;3.17;6.61;4.62;7.64;10.23;16.52;13.53
sergipe;3.14;8.38;5.32;5.72;8.81;13.23;29.97
bahia;1.14;5.35;3.04;2.83;3.96;6.36;18.75
sudeste;0.49;4.66;2.24;1.32;1.33;2.2;6.65
minas gerais;1.0;8.1;3.31;2.22;2.52;3.78;12.92
espírito santo;1.97;18.8;6.1;4.03;5.51;9.52;22.62
rio de janeiro;1.24;7.31;4.78;2.86;2.58;3.75;15.0
são paulo;0.65;7.93;4.16;2.12;1.98;3.33;9.58
sul;0.55;6.79;3.9;2.14;1.61;2.97;9.23
paraná;0.94;11.72;5.89;3.23;2.86;5.01;14.25
santa catarina;1.38;22.78;9.94;5.78;3.48;7.24;19.79
rio grande do sul;0.73;8.09;6.08;3.13;2.25;3.73;15.21
centro-oeste;0.86;7.7;3.58;1.95;2.31;3.72;10.79
mato grosso do sul;1.66;15.37;9.25;4.5;5.02;9.75;23.57
mato grosso;2.53;20.95;8.05;3.79;6.82;10.67;23.56
goiás;1.24;8.99;4.9;2.93;2.81;6.05;17.6
distrito federal;1.68;15.8;8.43;5.76;5.14;6.14;16.56
