;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;0.69;0.76;0.81;1.76;0.85
urbana;0.86;0.91;0.93;1.88;0.98
rural;3.25;3.28;3.32;6.9;3.8
norte;3.48;3.74;3.86;4.98;3.89
rondônia;3.32;5.35;5.63;11.26;4.83
acre;10.77;12.02;12.56;17.7;9.88
amazonas;4.42;3.93;3.73;12.09;6.97
roraima;4.76;5.07;4.83;13.49;6.1
pará;8.71;9.7;10.05;9.03;8.43
amapá;8.66;6.14;6.27;13.94;14.24
tocantins;3.4;4.24;4.41;10.57;3.28
nordeste;1.65;1.81;1.98;3.36;1.98
maranhão;7.39;7.7;8.54;18.19;8.82
piauí;5.9;7.26;7.26;17.06;5.55
ceará;4.11;4.16;4.46;6.88;4.86
rio grande do norte;9.23;11.1;11.95;13.02;7.78
paraíba;5.59;4.94;5.7;14.69;6.53
pernambuco;2.84;4.37;5.01;6.63;2.7
alagoas;8.57;7.74;8.5;9.2;9.71
sergipe;5.92;7.02;7.15;12.65;6.29
bahia;2.74;2.9;3.16;6.32;3.88
sudeste;0.95;1.03;1.08;2.92;1.16
minas gerais;1.89;2.04;2.05;6.33;2.14
espírito santo;4.04;4.82;5.47;13.85;4.58
rio de janeiro;2.34;2.49;2.5;5.39;2.66
são paulo;1.3;1.4;1.52;4.12;1.71
sul;1.39;1.67;1.84;3.73;1.6
paraná;2.18;2.46;2.65;5.62;2.72
santa catarina;3.73;4.73;5.23;7.81;3.12
rio grande do sul;1.69;1.87;2.06;6.28;2.53
centro-oeste;1.41;1.76;1.81;4.45;2.15
mato grosso do sul;3.06;3.19;3.33;9.11;4.57
mato grosso;2.86;4.63;4.67;12.36;4.4
goiás;2.19;2.64;2.76;7.11;3.5
