;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;0.32;0.4;0.43;1.37;0.52
urbana;0.63;0.67;0.68;1.45;0.73
rural;2.84;2.88;2.91;6.25;3.31
norte;1.88;2.19;2.3;3.75;2.25
rondônia;1.86;3.58;3.72;10.55;4.95
acre;4.32;6.01;6.48;16.27;3.36
amazonas;2.51;2.47;2.26;7.98;4.75
roraima;3.04;3.74;3.91;9.77;4.45
pará;4.0;4.74;4.99;6.28;3.99
amapá;3.83;4.93;4.99;10.56;9.36
tocantins;2.62;3.43;3.75;8.1;2.49
nordeste;0.63;0.82;0.91;2.69;1.07
maranhão;2.41;2.94;2.98;16.41;4.54
piauí;1.96;3.12;3.18;11.62;3.56
ceará;0.97;1.52;1.71;5.86;1.9
rio grande do norte;4.19;5.78;6.21;11.03;3.58
paraíba;2.59;2.19;2.49;12.78;3.7
pernambuco;1.34;2.37;2.95;5.05;1.55
alagoas;3.17;4.08;4.63;9.1;4.14
sergipe;3.16;3.06;3.15;7.54;4.95
bahia;1.14;1.31;1.46;4.43;2.45
sudeste;0.49;0.58;0.64;2.15;0.75
minas gerais;1.0;1.09;1.17;4.37;1.45
espírito santo;1.96;2.53;3.03;9.08;3.02
rio de janeiro;1.24;1.38;1.42;3.85;1.64
são paulo;0.65;0.83;0.95;3.15;1.07
sul;0.56;0.77;0.89;3.65;1.22
paraná;0.93;1.18;1.27;4.79;1.93
santa catarina;1.41;2.2;2.62;11.3;3.0
rio grande do sul;0.74;0.96;1.09;5.17;1.81
centro-oeste;0.86;1.21;1.24;3.46;1.55
mato grosso do sul;1.65;1.96;2.11;6.96;3.19
mato grosso;2.52;3.9;3.79;9.99;4.06
goiás;1.24;1.74;1.82;5.69;2.49
