;unnamed: 1_level_0;empregados;trabalhadores domésticos;conta própria;empregadores;outra
;0.4514784175949677;0.469117399791158;0.8152768341009063;0.6586358361825265;1.0692090097096334;0.9019849109003616
Situação do domicílio;;;;;;
urbana;0.47;0.5;0.88;0.68;1.16;1.24
rural;1.02;1.35;2.17;1.18;2.6;1.04
grandes regiões e unidades da federação;;;;;;
norte;2.41;2.67;3.62;2.76;4.44;2.87
rondônia;2.23;2.66;5.07;2.74;5.22;3.67
acre;5.0;4.13;12.37;8.3;8.98;5.14
amazonas;2.79;3.0;6.86;3.44;7.16;3.94
roraima;2.86;3.35;6.14;4.35;8.6;6.17
pará;6.16;7.16;8.91;5.86;9.38;7.13
amapá;7.32;9.01;9.27;6.0;14.29;10.4
tocantins;3.14;2.56;8.29;4.98;5.51;2.47
nordeste;1.01;1.04;1.75;1.36;2.52;1.55
maranhão;3.35;2.9;7.15;5.59;6.18;3.42
piauí;2.78;3.24;5.39;2.93;7.08;2.51
ceará;1.98;2.29;3.13;2.55;6.0;4.37
rio grande do norte;7.1;6.68;12.94;8.35;10.05;10.41
paraíba;6.2;5.29;6.16;7.54;10.62;11.6
pernambuco;2.06;2.08;2.91;2.43;7.49;3.05
alagoas;4.42;3.95;14.75;7.98;12.98;4.42
sergipe;4.36;4.2;9.78;4.57;8.73;12.5
bahia;1.81;2.06;2.73;2.5;4.91;2.68
sudeste;0.67;0.7;1.27;1.02;1.76;1.74
minas gerais;1.36;1.44;2.28;1.68;2.88;2.18
espírito santo;2.77;3.14;5.48;3.74;6.71;4.26
rio de janeiro;1.82;1.87;2.77;2.46;3.81;4.87
são paulo;0.88;0.93;1.88;1.54;2.77;3.87
sul;0.82;0.9;1.52;1.18;2.02;1.47
paraná;1.38;1.63;2.67;2.24;3.76;2.53
santa catarina;1.93;1.98;3.44;2.57;3.92;3.1
rio grande do sul;1.09;1.21;2.07;1.55;2.82;1.91
centro-oeste;1.17;1.21;2.3;1.74;2.54;2.91
mato grosso do sul;2.13;2.04;3.71;3.21;5.5;5.36
mato grosso;2.65;2.8;5.45;4.61;5.52;3.87
goiás;1.86;1.96;3.67;2.42;3.84;5.37
