;unnamed: 1_level_0;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
;0.2934201167807209;0.4175665076891857;0.37055009974804;0.3916977477215218;0.3383574404223211;0.427855263486545;0.5064325794146077;0.5694454824692016
Situação do domicílio;;;;;;;;
urbana;0.31;0.48;0.4;0.42;0.36;0.47;0.56;0.62
rural;0.69;0.84;0.86;0.93;0.8;0.94;1.13;1.12
norte;1.77;2.25;1.86;2.14;1.87;1.97;1.58;2.02
rondônia;1.39;2.53;1.92;1.74;1.94;2.42;3.49;3.69
acre;4.85;5.52;5.43;4.15;5.21;5.67;7.58;8.17
amazonas;2.28;3.2;3.01;2.59;2.61;2.52;2.55;3.32
roraima;2.57;4.34;3.31;3.64;2.83;4.67;8.28;5.78
pará;3.81;4.66;3.78;4.53;4.09;4.35;2.92;4.01
amapá;3.69;3.91;3.95;4.57;4.99;4.8;6.1;4.75
tocantins;2.29;2.51;2.39;1.69;3.02;4.98;3.49;4.43
nordeste;0.57;0.74;0.68;0.67;0.7;0.81;0.98;0.94
maranhão;1.85;2.64;2.67;1.85;2.81;3.72;4.73;3.85
piauí;1.77;2.05;2.06;2.43;2.14;3.01;3.23;2.53
ceará;0.91;1.45;1.42;1.28;1.26;1.54;1.79;1.71
rio grande do norte;3.93;4.95;4.18;4.22;4.49;5.32;5.28;4.09
paraíba;2.49;3.02;2.47;3.35;2.98;3.31;4.24;3.87
pernambuco;1.16;1.47;1.4;1.27;1.46;1.57;1.82;1.89
alagoas;2.83;3.13;3.49;2.66;3.36;2.75;4.33;4.54
sergipe;2.47;3.52;3.09;3.11;2.53;2.88;4.06;2.8
bahia;1.09;1.35;1.16;1.38;1.28;1.42;1.79;1.92
sudeste;0.45;0.64;0.58;0.64;0.53;0.7;0.82;0.95
minas gerais;0.95;1.1;1.19;1.15;1.13;1.3;1.55;1.76
espírito santo;1.74;2.23;2.33;2.5;1.93;2.93;3.14;4.4
rio de janeiro;1.14;1.62;1.36;1.54;1.31;1.37;1.57;1.64
são paulo;0.58;0.94;0.79;0.93;0.69;1.07;1.27;1.53
sul;0.51;0.79;0.7;0.7;0.57;0.82;1.13;1.27
paraná;0.85;1.54;1.2;1.23;0.99;1.22;1.83;2.28
santa catarina;1.34;1.63;1.82;1.54;1.26;1.91;2.69;2.55
rio grande do sul;0.64;0.88;0.83;0.96;0.8;1.27;1.67;1.86
centro-oeste;0.81;1.27;1.22;1.02;0.92;1.17;1.44;1.69
mato grosso do sul;1.71;2.62;2.06;2.25;2.06;2.09;2.9;2.79
mato grosso;2.18;2.92;3.86;2.91;2.14;3.25;3.4;4.32
goiás;1.21;1.86;1.7;1.53;1.47;1.92;2.34;2.88
