;total(1);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo)
;unnamed: 1_level_1;menosde 1/4;1/4 a menosde 1/2;1/2 a menosde 1;1 a menosde 2;2 ou mais;semrendimento(2)
               brasil;0.69;1.61;1.12;0.87;0.83;1.13;3.02
situação do domicílio;;;;;;;
urbana;0.7;1.9;1.24;0.94;0.89;1.18;3.36
rural;1.49;2.27;1.79;1.73;1.83;3.13;6.0
grandes regiões e unidades da federação;;;;;;;
norte;3.41;5.9;4.1;3.46;3.52;3.66;12.71
rondônia;2.81;7.34;3.74;4.24;3.15;5.57;18.99
acre;11.39;16.3;15.38;9.3;14.24;12.38;18.32
amazonas;4.28;7.68;5.11;4.65;5.71;7.9;16.92
roraima;4.38;11.36;5.73;5.22;6.38;8.6;25.88
pará;8.58;11.26;8.99;8.74;10.57;10.94;25.66
amapá;8.83;10.19;10.2;11.24;11.02;8.02;5.78
tocantins;3.13;5.25;5.65;2.71;4.12;4.4;24.41
nordeste;1.68;2.3;1.99;1.95;1.99;3.16;5.09
maranhão;8.02;10.45;8.37;9.14;6.33;14.69;11.65
piauí;5.66;6.21;5.91;6.78;7.93;11.45;32.4
ceará;4.1;6.37;5.58;4.99;4.9;6.65;12.47
rio grande do norte;9.1;11.81;11.59;10.05;9.93;10.51;22.12
paraíba;5.59;5.6;6.66;5.58;7.21;9.45;15.09
pernambuco;2.76;4.31;3.19;4.03;3.74;7.93;11.6
alagoas;8.58;10.33;10.41;9.38;12.78;16.25;13.91
sergipe;5.54;7.65;9.14;6.6;6.81;7.04;25.01
bahia;2.72;3.62;2.94;3.2;3.75;6.34;8.79
sudeste;0.94;2.43;1.72;1.35;1.27;1.73;5.29
minas gerais;1.87;3.49;2.22;2.29;2.42;3.06;6.49
espírito santo;3.83;5.93;6.82;4.87;4.84;6.38;17.87
rio de janeiro;2.27;5.47;4.54;3.14;3.0;3.88;12.49
são paulo;1.3;4.44;3.01;2.07;1.78;2.42;7.91
sul;1.38;3.33;2.29;1.66;1.67;2.16;5.95
paraná;2.2;5.79;3.38;3.09;2.94;3.35;10.87
santa catarina;3.71;6.6;5.41;3.29;3.85;4.92;7.95
rio grande do sul;1.65;4.49;3.6;2.2;1.92;2.79;9.16
centro-oeste;1.41;3.83;2.76;2.02;2.0;2.11;7.45
mato grosso do sul;3.22;10.6;6.89;4.98;3.43;3.74;10.86
mato grosso;2.77;6.42;4.99;3.88;4.96;7.03;18.55
goiás;2.22;5.18;3.82;2.8;2.96;3.41;9.9
distrito federal;3.75;16.11;8.33;6.69;5.33;3.77;15.52
fonte: ibge, diretoria de pesquisas, coordenação de trabalho e rendimento, pesquisa nacional por amostra de domicílios 2009.;;;;;;;
