;Unnamed: 1_level_0;Agrícola;Indústria;Construção;Comércio e Reparação;Serviços
               Brasil;0.0;2.5715875520158074;1.3948638760184078;1.428834976256425;1.043760810740217;0.6659360339788312
Situação do domicílio;;;;;;
Urbana;0.0;3.35;1.35;1.43;0.85;0.48
Rural;0.0;1.53;6.54;5.61;5.3;3.21
Grandes Regiões e Unidades da Federação;;;;;;
Norte;0.0;6.03;4.35;4.36;2.25;1.89
Rondônia;0.0;7.83;14.05;9.06;5.21;5.73
Acre;0.0;12.82;16.74;13.1;9.13;4.98
Amazonas;0.0;6.0;5.0;6.29;4.87;2.36
Roraima;0.0;8.31;16.48;16.47;6.64;4.88
Pará;0.0;13.51;7.54;9.03;3.58;3.69
Amapá;0.0;44.38;11.94;10.49;11.63;3.98
Tocantins;0.0;12.25;10.72;10.12;7.51;5.78
Nordeste;0.0;3.76;3.45;2.77;2.62;1.73
Maranhão;0.0;17.01;18.92;9.63;13.5;8.42
Piauí;0.0;11.39;11.46;12.34;12.54;9.85
Ceará;0.0;8.35;5.55;5.97;4.53;3.36
Rio Grande do Norte;0.0;11.14;10.47;9.5;10.98;3.05
Paraíba;0.0;10.9;9.54;10.75;8.65;6.19
Pernambuco;0.0;10.74;9.68;7.42;5.6;3.26
Alagoas;0.0;8.21;16.99;12.37;9.62;5.54
Sergipe;0.0;16.27;15.53;11.68;6.04;6.31
Bahia;0.0;6.02;7.66;4.79;4.0;3.38
Sudeste;0.0;5.64;2.03;2.33;1.48;0.79
Minas Gerais;0.0;6.48;4.5;3.86;3.31;1.83
Espírito Santo;0.0;16.34;9.42;10.61;5.86;4.53
Rio de Janeiro;0.0;19.67;3.21;4.42;2.49;1.07
São Paulo;0.0;12.69;2.75;3.75;2.12;1.15
Sul;0.0;6.86;2.91;3.27;2.51;2.14
Paraná;0.0;9.81;4.07;4.62;3.78;2.25
Santa Catarina;0.0;19.61;5.25;8.4;5.75;7.07
Rio Grande do Sul;0.0;9.27;5.31;5.16;3.91;2.98
Centro-Oeste;0.0;6.57;4.3;4.2;2.68;1.51
Mato Grosso do Sul;0.0;10.69;12.86;7.51;6.78;4.41
Mato Grosso;0.0;9.07;12.62;12.58;7.69;3.02
Goiás;0.0;12.02;4.48;6.26;3.59;2.75
Distrito Federal;0.0;39.26;7.17;7.85;4.62;1.65
