;Unnamed: 1_level_0;homens;mulheres;branca;preta/parda;preta/parda;preta/parda
;;Unnamed: 2_level_1;Unnamed: 3_level_1;Unnamed: 4_level_1;Total;Preta;Parda
               Brasil;0.0;0.19;0.19;0.64;0.64;1.72;0.7
Situação do domicílio;;;;;;;
Urbana;0.0;0.22;0.21;0.67;0.73;1.69;0.82
Rural;0.0;0.36;0.4;2.51;1.62;5.43;1.7
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;0.0;0.53;0.56;2.23;0.73;5.08;0.75
Rondônia;0.0;1.73;1.75;3.0;1.7;7.52;1.93
Acre;0.0;1.8;1.94;7.29;2.46;15.64;2.46
Amazonas;0.0;1.03;1.03;5.87;1.55;21.93;1.46
Roraima;0.0;2.08;2.17;7.61;2.89;16.3;3.14
Pará;0.0;0.98;1.05;3.66;1.11;8.45;1.17
Amapá;0.0;2.58;2.7;10.43;3.7;25.87;3.39
Tocantins;0.0;0.78;0.89;6.35;2.12;13.54;2.49
Nordeste;0.0;0.33;0.33;2.1;0.83;3.4;0.91
Maranhão;0.0;1.0;1.02;10.22;3.3;15.48;4.03
Piauí;0.0;1.63;1.57;9.66;2.9;26.25;2.67
Ceará;0.0;0.86;0.87;3.74;1.56;10.78;1.75
Rio Grande do Norte;0.0;1.09;1.15;3.03;1.61;13.02;1.76
Paraíba;0.0;1.67;1.62;4.9;2.89;15.45;2.58
Pernambuco;0.0;0.76;0.73;3.26;1.7;8.24;1.82
Alagoas;0.0;1.09;1.06;11.99;4.07;18.76;4.42
Sergipe;0.0;1.73;1.71;6.78;2.68;16.75;2.51
Bahia;0.0;0.55;0.56;5.03;1.6;3.72;1.81
Sudeste;0.0;0.32;0.32;0.89;1.19;2.51;1.37
Minas Gerais;0.0;0.6;0.6;1.97;1.62;4.74;1.93
Espírito Santo;0.0;1.55;1.62;6.07;4.65;10.2;4.7
Rio de Janeiro;0.0;0.63;0.58;1.97;2.36;4.23;2.78
São Paulo;0.0;0.48;0.48;1.16;2.23;4.27;2.54
Sul;0.0;0.5;0.49;0.73;2.79;4.73;3.07
Paraná;0.0;0.85;0.83;1.51;3.77;8.56;4.02
Santa Catarina;0.0;0.99;1.0;1.48;9.41;14.7;10.32
Rio Grande do Sul;0.0;0.79;0.77;0.86;3.79;5.71;4.28
Centro-Oeste;0.0;0.66;0.67;2.15;1.54;4.24;1.62
Mato Grosso do Sul;0.0;1.41;1.43;3.68;3.86;11.97;4.0
Mato Grosso;0.0;1.62;1.73;7.44;4.19;7.97;4.6
Goiás;0.0;1.04;1.06;3.0;2.05;6.94;2.15
Distrito Federal;0.0;1.16;1.09;3.05;2.39;7.36;2.59
